STA_SEQ,locationNa,locationDe,ylat,xlong,MinYear,MaxYear,CntYear,HydroID
14863,Rocky Brook,adjacent to East Thompson Road,42.0134,-71.802,2002,2015,4,201484795
14207,French River,upstream Langers Pond,42.0248,-71.8843,2004,2014,5,201484922
17565,Long Branch Brook,at Labbey Road crossing,42.01196,-71.871901,2015,2015,1,201485081
16246,Fivemile River,Downstream of Spicer Road,41.9865,-71.8154,2009,2014,2,201485363
14410,Quinebaug River,upstream Route 197,42.022,-71.9528,1990,2018,12,201485225
14305,Muddy Brook,between confluence w/trib (MB2) and dirt road crossing,42.0147,-72.0017,1999,2014,7,201485445
14669,French River,at Main Street (Red Bridge Road),41.9781,-71.9008,2017,2017,1,201485876
14206,French River,adjacent Route 12,41.9548,-71.884,1990,2014,10,201486242
18932,French River,Adj Rte 12 near Plum Rd,41.963157,-71.89015,2015,2015,1,201486242
16088,Lebanon Brook,"upstream Route 198, North of 198/197 intersection",41.9945,-72.0836,2014,2014,2,201486031
16416,Delphi Brook,adjacent  Delphi Road,42.0211,-72.2517,2008,2009,2,201486194
14999,North Running Brook,upstream at dirt farm road below child hill farm property,41.9645,-71.9657,2009,2009,1,201486380
15299,North Running Brook,upstream farm run off/drainage swale child hill farm,41.9645,-71.9666,2004,2004,1,201486380
14998,Still Brook,Upstream Whispering Pine Lane,42.0192,-72.3127,2004,2004,1,201486346
16243,Fivemile River,200 feet South Route 44,41.918,-71.83,2009,2009,1,201486563
17405,Roaring Brook,Below Bradway Rd- below mathews Pond,41.9818,-72.2215,2014,2014,1,201486665
16944,PEAKE BROOK,US of peake brook rd,41.9303,-71.9433,2015,2015,1,201486746
16417,Furnace Brook,adjacent  Route 19,41.9934,-72.2695,2008,2009,4,201486619
14866,Stickney Hill Brook,upstream Brown road,41.9833,-72.2179,2002,2015,4,201486633
16418,Furnace Brook,upstream Hydeville Road,41.9937,-72.2767,2008,2009,2,201486669
14276,Little River,downstream 150 meters Peake Brook Road,41.928,-71.9315,1999,1999,1,201486680
17852,Shady Oak School House Brook,US KELLY RD crossing,41.89866,-71.80928,2015,2015,1,201486965
15151,Little River,behind #145 Pomfret Street (Medical offices) US of Route 44 crossing,41.912,-71.9163,2009,2014,3,201486818
14214,Furnace Brook,upstream Orcuttville Road,41.9841,-72.2947,1999,2010,4,201486892
14609,Quinebaug River,adjacent Town Park at Kennedy Drive,41.9081,-71.9096,1999,2014,7,201486936
14606,Middle River,downstream Route 190,41.9659,-72.3278,1999,2014,4,201487213
14215,Furnace Brook,downstream Glenville Pond,41.9679,-72.2979,2008,2009,2,201487329
14656,Furnace Brook,Downstream of Dam Upstream of Concrete Channel,41.9554,-72.3013,2000,2009,3,201487329
16419,Furnace Brook,downstream Warren Pond,41.9599,-72.2994,2008,2009,2,201487329
16106,Branch Brook,Upstream Westford Road at mouth,41.9108,-72.1245,2009,2010,3,201487443
16288,Branch Brook,adjacent Kozy Corner Road upstream of mouth 3/4 mile,41.9199,-72.1256,2009,2010,2,201487443
17295,Bigelow Brook,DS Eastford Road,41.9182,-72.1398,2015,2015,2,201487396
19024,Crystal Lake Brook,At Williamson Rd,41.966806,-72.362173,2016,2016,1,201487410
14658,Middle River,Upstream Intersection of West Street and ?,41.9567,-72.3141,2000,2000,1,201487364
15051,Durkee Brook,downstream Holmes Road,41.8829,-71.9286,2015,2015,1,201487564
14708,Middle River,downstream of dam at upstream entrance of American Sleeve Bearing,41.9519,-72.3084,2000,2000,1,201487365
14583,Middle River,downstream Route 32 bridge,41.9525,-72.3039,1999,2014,12,201487365
14580,Willimantic River,adjacent to park upstream Stafford POTW,41.9505,-72.3037,1999,2019,13,201487650
14581,Willimantic River,downstream Stafford POTW,41.9423,-72.3058,1999,2019,21,201487650
17816,INDIAN HUT BROOK,UPSTREAM OF SCHOOL HILL/EAST HILL RD (At Old Colony Road crossing),41.90276,-72.06398,2015,2015,1,201487488
15516,Valley Brook,dowstream Route 20 on MDC property,42.0315,-72.9318,2011,2011,2,201487873
15221,Scantic River,downstream 100 meters South Maple Street,41.982,-72.5407,2008,2012,3,201487608
15003,Wappoquia Brook,at old bridge off RTE 169 on Wappaquia Brook Farm,41.8751,-71.9658,2004,2014,2,201487666
19655,Bradley Brook,Behind #133 Wells Road,41.991852,-72.810504,2017,2017,1,201488193
14303,Muddy Brook,downstream Route 168 (Main Street),41.9838,-72.6582,1998,2008,5,201487964
15520,Bonemill Brook,upstream end of driveable road above sweet heart lake,41.925,-72.3162,2012,2014,2,201487754
14599,Mashamoquet Brook,downstream Wrights Crossing Road near Mill Road,41.8499,-71.9359,1999,2014,5,201487804
19697,Mashamoquet Brook,150m US State Hwy 101 (Hartford Providence Tpke),41.85481,-71.95045,2017,2017,1,201487773
14593,Whetstone Brook,downstream Route 12,41.831633,-71.878097,1999,2014,3,201487907
14589,Still River,adjacent General Lyon Road; US Pilfershire Rd,41.8716,-72.0877,1999,2014,4,201487997
15240,Hubbard Brook,upstream Route 20 on MDC property,42.0356,-72.9384,2011,2018,9,201487872
16387,Hurricane Brook,adjacent to Hurricane Brook road,42.033,-72.9207,2011,2014,3,201487966
14997,East Branch Salmon Brook,"mmediately above small pond at Valley Workship Center (Formerly Woodhaven Riding Facility), #160 rte 189",42.0135,-72.8435,2004,2012,4,201487925
14204,Fivemile River,downstream Route 101,41.846,-71.8902,1990,1990,1,201487876
14205,Fivemile River,downstream 500 meters Route 101,41.8451,-71.8912,1990,1999,2,201487876
15776,East Branch Mount Hope,upstream confluence with Mount Hope at James Road,41.881,-72.16,2014,2014,1,201487985
16873,MOUNT HOPE RIVER,US of rte 89,41.8814,-72.1639,2018,2018,1,201487984
19644,Fenton River,DS of Liska Road,41.893756,-72.232191,2017,2017,1,201488042
14584,Roaring Brook,at Route 32,41.904,-72.2891,1999,2017,12,201488020
14590,Bigelow Brook,downstream Route 198,41.8671,-72.0921,1999,2009,3,201487996
16501,BELDEN BROOK,"Parallel to Lost Acres Rd, Near Humprey's Rd",42.0122,-72.8775,2012,2012,1,201488089
16109,Gardner Brook,Upstream Route 89 and adjacent Slade Rd,41.8642,-72.1598,2007,2007,1,201488230
16502,BELDEN BROOK,"Adjacent Lost Acres Road, Across from Harvey Road",42.0056,-72.8508,2016,2016,1,201488090
16308,Stony Brook,Route 75,41.9723,-72.6574,2008,2008,1,201488077
20123,Labonte Brook,Adjacent Babcock Road,41.90359,-72.3077,2019,2019,1,201488169
15046,Charters Brook,downstream Browns Bridge Road,41.9062,-72.4035,2003,2012,3,201488403
19931,Charters Brook,Adjacent Shenipsit Lake Road,41.903266,-72.40556,2018,2018,1,201488403
16310,Broad Brook,Broad Brook road,41.9192,-72.498,2008,2008,2,201488389
14465,Stony Brook,upstream South Grand Street,41.9608,-72.711,1989,2008,6,201488416
16758,HOWELL'S BROOK,DS of JCT of Mill St and Pond Hill Rd.,42.0078,-73.0042,2012,2012,1,201488481
14199,Fenton River,adjacent Daleville Road,41.863,-72.2402,2009,2015,2,201488607
14840,Mountain Brook,"Within Granby LT Schlicht Preserve, adjacent old logging road",41.9741,-72.8375,2002,2012,2,201488932
16108,Knowlton Brook,Between Cushman Rd and confluence with Squaw Hollow Brook,41.8492,-72.1783,2007,2007,1,201488530
14147,Broad Brook,upstream USGS gage at Route 191,41.9147,-72.549,1993,2014,9,201488625
15171,East Branch Salmon Brook,Downstream Route 20,41.955,-72.7794,2008,2008,2,201488786
15678,Sandy Brook,"adjacent Sandy Brook Road, Downstream of Campbell Road",42.0109,-73.0888,2008,2012,2,201488629
16304,Quinebaug River,at end of Edwardson Street,41.7809,-71.901,2009,2014,6,201488745
16080,West Branch Salmon Brook,at Dalene Road,41.9745,-72.896,2012,2014,2,201488641
19696,"Whiting River, Unnamed tributary to",At Road Crossing on Moses Mead Road,42.03433,-73.268021,2017,2017,1,201488844
15703,West Branch Salmon Brook,adjacent Route 20 and Simsbury Road intersection,41.9592,-72.8469,2015,2015,2,201488899
14238,Hockanum River,upstream Lower Butcher Road,41.8758,-72.4743,1998,2008,2,201489051
15047,Hockanum River,downstream most upstream Route 74/Tolland Ave crossing,41.8676,-72.4341,2003,2008,3,201489051
15048,Hockanum River,upstream West Street,41.8666,-72.4648,2003,2008,4,201489051
15679,Center Brook,from mouth to large pool at base of bedrock falls,42.0011,-73.0824,2012,2012,1,201488869
17427,East Branch Stonehouse Brook,below marsh on Pumkin Hill Rd.,41.8186,-72.1316,2014,2014,1,201488910
14484,West Branch Salmon Brook,upstream 50 meters Barndoor Hills Road,41.9372,-72.8215,1998,2017,9,201489034
15092,Fenton River,upstream Old Turnpike Road,41.8335,-72.2429,2005,2018,2,201488927
15720,Blackwell Brook,behind #89 laurel hill road,41.7896,-71.9723,2009,2014,4,201488837
14843,Sandy Brook,250 meters upstream second bridge crossing on Sandy Brk Rd from Rte 8,41.9904,-73.058,2002,2012,2,201488861
16258,West Branch Farmington River,adjacent # 500 Hogsback Road,41.9735,-73.0209,2008,2015,3,201488988
15719,Blackwell Brook,upstream Route 6,41.7843,-71.9626,2015,2015,1,201488882
14435,Salmon Brook,adjacent Granbrook Park,41.9366,-72.7749,1998,2004,3,201488979
14446,Scantic River,downstream Woolam Street,41.8941,-72.5723,1995,2010,4,201489133
14880,Sages Ravine Brook,500 feet upstream route 41,42.0495,-73.4301,2002,2016,3,201488953
15001,Beach Brook,adjacent to bend Upstream 100 meters cabin off broad hill road,41.946,-72.8575,2004,2004,1,201489107
15499,West Branch Salmon Brook,at Simsbury Road,41.94096,-72.834302,2012,2019,9,201489026
14688,Blackberry River,behind Bircron company DS rte 44,42.0284,-73.3394,2011,2011,1,201489065
14314,Natchaug River,downstream North Bear Hill Road,41.8008,-72.1182,1989,2017,24,201489080
15792,West Branch Farmington River,at Route 20 (USGS gage) Riverton,41.9602,-73.0178,2012,2014,3,201489173
14591,Mount Hope River,upstream 50 m Elizabeth Road,41.7971,-72.1716,1999,2014,11,201489327
14442,Sandy Brook,opposite Grange Hall off Riverton Road,41.974,-73.0406,1993,2018,35,201489043
15091,Fenton River,behind Uconn Well Field building A,41.8222,-72.2309,2005,2005,1,201489056
14687,Blackberry River,adjacent well field south of Route 7 crossing,42.023955,-73.327636,2008,2016,6,201489143
15308,Blackberry River,1st riffle DS Tractor Ford at quarry discharge,42.0171,-73.3178,2003,2003,2,201489143
15309,Blackberry River,1st riffle US Tractor Ford at quarry discharge,42.0156,-73.3147,2003,2003,2,201489143
16015,Murphy Brook,adjacent private driveway off North Bigalow Road,41.7828,-72.0398,2014,2014,1,201489149
14461,Sandy Brook (Still River),adjacent USGS gage off Robertsville Road,41.9685,-73.0331,1989,2018,8,201489158
14813,Blackberry River,upstream Jacquier Farm Complex,42.0065,-73.2343,2011,2016,3,201489083
14132,Blackberry River,upstream Route 44 Bridge,42.0236,-73.341,1990,2006,5,201489066
15386,Roberts Brook (Mirror Lake outlet),at Gurleyville Road most downstream crossing,41.815,-72.2319,2012,2015,3,201489256
16225,Farmington River,at River St. Park,41.9015,-72.6708,2008,2015,3,201489095
14492,Willimantic River,upstream old bridge Jones Crossing Road,41.8326,-72.3079,1989,2014,5,201489347
15990,Spice Brook,upstream Gerhing Road and Old Kent Road intersection,41.8459,-72.3865,2006,2014,4,201489120
14241,Hockanum River,upstream Dart Hill Road,41.8503,-72.4878,1998,2012,13,201489364
14686,Blackberry River,Behind Elm Knoll Farm at second tractor crossing,42.0096,-73.2806,2004,2016,6,201489132
16066,Farmington River,between Route 189 and old bridge tressells (in town park),41.914,-72.765,2007,2017,8,201489300
18784,Quinebaug River,25 m DS of Route 205,41.747064,-71.915091,2014,2014,2,201489498
15093,Fenton River,upstream Stone Mill Road,41.8108,-72.2208,2005,2005,1,201489235
16116,Kettle Brook,MDC east access road at mouth,41.9324,-72.9442,2007,2007,1,201489446
14592,Fenton River,downstream 250 m Chaffeeville Road crossing,41.7925,-72.21,1999,2014,4,201489447
15714,Cedar Swamp Brook,upstream Hunting Lodge Road,41.8164,-72.279,2014,2014,1,201489354
15301,Eagleville Brook,Upstream side #43 Hunting Lodge Road (private driveway),41.8067,-72.2646,2003,2019,6,201489553
15302,Eagleville Brook,upstream Separatist Road,41.804,-72.266,2003,2014,4,201489553
15303,Eagleville Brook,Upstream Hillyndale Road,41.7991,-72.2738,2003,2014,2,201489553
15304,Eagleville Brook,Upstream NNT to Eagleville Brook Adj. To N. Eagleville Road,41.7938,-72.2752,2003,2019,9,201489553
15749,Eagleville Brook,at Hunting Lodge Rd,41.8069,-72.2643,2012,2012,1,201489553
15752,Eagleville Brook,north side N Eagleville Rd adjacent F-lot,41.8089,-72.2633,2009,2014,3,201489553
14713,Still River,300 meters downstream VFW lodge on Route 8 (site 39) upstream industrial building,41.9503,-73.049,2000,2012,7,201489398
18159,West Branch Farmington River,upstream Henry Buck trail head,41.94516,-73.01674,2015,2015,2,201489406
16322,Ogden Brook,Adj to Merline Rd between Howard Dr and Oakmour Dr,41.8456,-72.4816,2008,2009,6,201489384
14595,Quanduck Brook,downstream River Road/N Sterling Rd,41.721906,-71.836053,1999,2014,3,201489444
16128,Stonehouse Brook,off old trail  downstream Palmer Road,41.7812,-72.1509,2007,2015,9,201489426
14460,Still River,off Route 8  behind VFW,41.9476,-73.0487,1998,1998,1,201489408
17556,Bolton Pond Brook,upstream crossing at Rte 44,41.796962,-72.42478,2012,2012,3,201490223
14600,Blackwell Brook,upstream Wauregan Road,41.7407,-71.9488,1999,2009,2,201489565
14459,Still River,upstream 100 meters Wallens Street,41.929,-73.0584,1998,2008,6,201489869
15008,Moosup River,adjacent to old RR grade 500 meters DS of RR bridge crossing,41.7172,-71.8422,2004,2015,4,201489501
15711,Little River,adjacent to sand hill road at No Name Tributary,41.7561,-72.0473,2009,2014,3,201489524
20122,Deming Brook,850m upstream Under Mountain Road,41.970555,-73.294686,2019,2019,1,201489964
15306,Eagleville Brook,Downstream NNT to Eagleville Brook Adj. To N. Eagleville Road,41.7932,-72.2756,2003,2003,1,201489732
15783,Eagleville Brook,upstream Route 32,41.7882,-72.2776,2009,2019,4,201489732
19019,Wachocastinook Creek,"Adjacent Mt Riga Rd at gate, upstream driveway #58",41.993089,-73.438412,2016,2016,2,201489922
15825,West Branch Farmington River,upstream 500 meters Rte 318 Bridge,41.9168,-72.989,2008,2018,8,201489809
14470,Tankerhoosen River,upstream Tunnel Road,41.8272,-72.464,1994,2019,17,201489597
16312,Mad River,at # 145 danbury quarter road,41.9458,-73.1286,2008,2012,3,201489657
16114,Rugg Brook,US first road crossing from reservoir at #224 Old Waterbury Turnpike,41.9328,-73.1214,2007,2016,8,201489974
15966,Mill Brook,at Route 75 (#180),41.8569,-72.6501,2006,2006,1,201489684
16313,Mad River,at Grantville Road,41.9477,-73.1444,2008,2012,2,201489714
14242,Hockanum River,upstream 100 meters confluence with Tankerhoosen River,41.8195,-72.5035,1998,2008,3,201489843
14469,Tankerhoosen River,upstream 100 m mouth at golf land,41.8201,-72.5033,1998,2014,12,201489844
14842,Indian Meadow Brook,between Route 44 crossing and end of Loomis Street,41.9305,-73.079,2002,2015,5,201489763
14888,Ekonk Brook,between buildings 6 & 7 at condos Gorman Street,41.7109,-71.8778,2002,2014,3,201489847
14594,Moosup River,adjacent Route 14 one way (east),41.7148,-71.8931,1999,2014,6,201489751
16303,Moosup River,between upper ponds sterling and oneco off church streets,41.6977,-71.823,2009,2014,3,201489745
15176,Natchaug River,off Mansure Road Behind 238 Willimantic Road (Route 6) Chaplin Kawasaki,41.7569,-72.1523,2007,2015,8,201489845
16385,Beaver Brook,adjacent to park road downstream of crossing,41.932,-72.9754,2012,2012,1,201489853
16089,Morgan Brook,upstream Route 318,41.9086,-73.0007,2008,2012,2,201489944
15768,Mallory Brook,downstream Route 44 Crossing near mouth,41.9113,-73.0263,2008,2012,2,201489951
19021,Farm Brook,Upstream Oakland Rd/Rt 30,41.82225,-72.543615,2016,2016,2,201490010
15006,Hockanum River,behind #440 Rte 83 (Odessey School),41.8078,-72.5204,2004,2008,3,201490199
14520,Factory Brook,upstream Salmonkill Road,41.9751,-73.4212,1999,2016,4,201490023
15007,Sawmill Brook,Upstream Meadowbrook Lane/Conantville Road,41.7398,-72.2017,2004,2014,2,201490302
14582,Willimantic River,upstream Depot Road Coventry Road,41.7623,-72.2691,1999,2014,4,201490200
20124,NNT to Sucker Brook,Adj Rt 263,41.916858,-73.115359,2019,2019,1,201490096
14247,Hollenbeck River,at Cobble Road,41.9431,-73.3058,1996,2016,8,201490244
14521,Factory Brook,100 m downstream Confluence with Burton Brook,41.9668,-73.4277,1999,1999,1,201490157
16352,Lydall Brook,Upstream Oakland Street at North Main Street,41.7952,-72.5215,2008,2008,1,201490260
17174,WASH BROOK,US Gabb Rd Bridge off Rte 189,41.825,-72.7386,2011,2011,1,201490441
16124,Flat Brook,at Lower Barrack Road,41.938249,-73.321123,2007,2018,10,201490398
17271,Cherry Brook,at West Road Bridge,41.8733,-72.9063,2015,2015,1,201490206
14523,Burton Brook,upstream STP access Road,41.9667,-73.4341,2015,2015,1,201490239
16239,West Branch Farmington River,at Blacks Bridge Road,41.878,-72.965,2015,2015,1,201490353
16300,Hop River,upstream Ash Brook Confluence at South Road,41.7712,-72.4089,2008,2008,3,201490315
14585,Skungamaug River,end of Times Farm Road (camp),41.7659,-72.3927,2009,2009,1,201490417
19639,Skungamaug River,"Adjacent Times Farm Road, between Channel 3 Kids Camp and confluence with Hop River",41.76335,-72.39306,2017,2017,1,201490417
16191,Hall Meadow Brook,adjacent to Rte 272 across from South Norfolk lumber company,41.9173,-73.1949,2015,2015,1,201490289
16373,East Mountain Brook,upstream Route 44 behind Dunkin Donuts,41.8772,-72.9778,2012,2012,1,201490300
16139,Brown Brook,at Route 63,41.9267,-73.2799,2007,2019,17,201490357
16679,Fry Brook,parallel to DOT parking lot DS of rte 14A,41.6831,-71.9058,2014,2014,2,201490337
14244,Hockanum River,upstream Adams Street,41.7883,-72.5503,1993,1998,2,201490463
16071,Hockanum River,behind #280 Adams Street (Lobo and Associates),41.7874,-72.551,2008,2008,1,201490463
16316,Jim Brook,Bahre Corner Road,41.8377,-72.8817,2008,2012,3,201491183
15571,Cherry Brook,upstream Route 44,41.8365,-72.9295,2008,2014,4,201490704
15794,West Branch Farmington River,behind at Upcountry Sports,41.8732,-72.9648,2009,2009,3,201490353
16885,Natchaug River,from lathers park US through first riffle,41.7261,-72.1997,2015,2015,2,201490531
19681,Merrick Brook,"Downstream Route 14/Huntington Road, behind #23 Devotion Road",41.697255,-72.084129,2017,2017,2,201490689
18685,Wash Brook,Upstream Route 189 (Below Tumbledown Brk confluence),41.819229,-72.739279,2014,2014,1,201490519
14294,Mill Brook,downstream Route 12 bridge,41.6643,-71.9198,1999,1999,1,201490493
14296,Mill Brook,at RR tracks,41.667,-71.9227,2009,2009,1,201490493
14237,Hockanum River,downstream New State Street,41.7859,-72.5569,1993,1993,1,201490488
16126,Hall Meadow Brook,at park access road bridge,41.8861,-73.1689,2007,2008,2,201490600
18883,East Branch Naugatuck River,at Sawmill Hill Road,41.85783,-73.12913,2015,2015,1,201490898
15210,Beaver Brook,US Gager Hill Road/Bass Road,41.6841,-72.1092,2009,2014,2,201490737
14586,Hop River,upstream Flanders River Road,41.7212,-72.2548,1999,2014,5,201490629
14439,Salmon Creek (Salmon Kill),downstream Route 112,41.9337,-73.3908,1997,2016,7,201490548
14235,Hockanum River,downstream Walnut Street,41.7822,-72.5912,1990,2010,8,201490886
14250,South Fork Hockanum River,upstream discharge POTW Rd,41.7767,-72.5612,2008,2013,2,201490718
20129,Ocain Brook,Adj Rt 63,41.899369,-73.264893,2019,2019,1,201490713
16289,Staddle Brook,downstream Townsend Road,41.727,-72.3782,2008,2008,3,201490815
15319,Nod Brook,DS Route 10,41.8158,-72.8294,2006,2014,8,201490889
15837,Farmington River,at Satan's Kingdom Tubing Shuttle bus pick up,41.8395,-72.9346,2015,2015,2,201490703
16341,Nod Brook,at Moutain Road Crossing,41.8286,-72.8667,2010,2010,3,201490653
18508,"South Fork Hockanum River (""Hop Brook"")",US Prospect St,41.764221,-72.530362,2013,2013,1,201490699
18509,"South Fork Hockanum River (""Hop Brook"")",at Charter Oak Park,41.762739,-72.516012,2013,2013,1,201490699
14451,Shetucket River,downstream Plains Road adjacent to USGS gauge,41.7002,-72.1823,1990,2018,16,201490762
16400,North Branch Park River,at Sunny Reach Drive,41.797,-72.72,2008,2014,5,201490706
16928,Obwebetuck Brook,US of rte 32,41.6911,-72.1806,2015,2015,1,201490768
14841,FARMINGTON RIVER,100 meters upstream Steele bridge on Town Bridge Road,41.8257,-72.9295,2002,2012,4,201490922
14254,Housatonic River,North 1.5 miles Route 128,41.8906,-73.3576,1989,2016,10,201491003
17169,Waldo Brook,DS of Waldo rd,41.6547,-72.0986,2014,2014,1,201491048
16899,NEPAUG RIVER,"90 m US Rte 202, 1st crossing from Nepaug Res.",41.8256,-72.973,2012,2012,1,201490962
16090,North Branch Park River,at Farmington Avenue (Route 4)  behind # 19 Woodland street,41.7672,-72.7033,2008,2008,1,201491153
16704,Great Meadow Brook,DS of Mason Gray Pond,41.6,-71.8375,2014,2014,1,201491285
16338,West Branch Naugatuck River,Adjacent to Rte 272 upstream Drakeville Trailer Park,41.8561,-73.1602,2009,2009,3,201490987
16127,Jakes Brook,at Route 272,41.864151,-73.167442,2007,2018,9,201490956
14349,Nepaug River,upstream Route 202 & Steadman Road,41.83,-72.9947,1998,2012,3,201490930
14587,Tenmile River,downstream Jones Road,41.6937,-72.2632,1999,2014,5,201490963
14602,Merrick Brook,at Station Road,41.661,-72.1101,1999,2014,5,201490979
19692,Nepaug River,"At old USGS gage 01187800.  Adjacent 202, upstream Nepaug Reservoir.",41.820653,-72.9701,2017,2017,1,201490992
14804,Mill Brook,upstream first Cream Hill Road crossing from mouth,41.8804,-73.331,2006,2015,4,201491115
19016,Trout Brook,"At Loomis St, across from Apt #105",41.76615,-72.7392,2016,2016,1,201491342
14251,Housatonic River,at dirt road North of Route 128,41.8806,-73.3654,2008,2016,3,201491264
14277,Little River,upstream Potash Hill Road,41.6393,-72.0582,1993,2014,7,201491281
16962,PHELPS BROOK,USGS 01187830 at Mill Dam Road Near Collinsville,41.799811,-72.964813,2017,2017,1,201491329
17728,Trout Brook,@ Willowbrook Lane,41.76588,-72.76033,2011,2011,1,201491349
14198,FARMINGTON RIVER,upstream Old Farms Road,41.7723,-72.822,1990,1998,3,201491291
15011,Crooked Brook,DS Rte 201,41.5999,-71.9067,2004,2004,1,201491385
16035,Nickelmine Brook,upstream pothier Road,41.8342,-73.1786,2006,2006,1,201491345
15964,Thompson Brook,at Bike Path Crossing (Old RR grade),41.7681,-72.8497,2006,2012,4,201491415
14175,East Branch Naugatuck River,adjacent to Newfield Road at old RR tressel,41.8203,-73.1232,1991,1995,3,201491547
14176,East Branch Naugatuck River,upstream Route 4,41.8122,-73.1221,1990,2006,5,201491547
14177,East Branch Naugatuck River,downstream Main Street,41.8107,-73.1216,1990,1990,1,201491547
14596,Pachaug River,upstream RR tracks at South Main Street,41.604,-71.9852,1999,1999,1,201491479
14437,Salmon Brook,upstream Research Road,41.7167,-72.5851,1998,1998,1,201491459
16938,South Branch Park River,DS Newfield Ave overpass,41.7339,-72.7117,2011,2011,1,201491587
14479,Trout Brook,upstream New Britain Avenue,41.7314,-72.7231,1989,2014,15,201491586
14278,Little River,upstream Bushell Hollow Road Route 138,41.6158,-72.0416,1993,2015,10,201491503
16342,Blackledge River,at Jones Hollow Road,41.6814,-72.463,2008,2012,2,201491666
16082,"Bunnell Brook (""Burlington Brook"")",between Punch Brook confluence and Route 179 (US Rt 179),41.7833,-72.9247,2008,2012,2,201491410
16003,Nickelmine Brook,at Route 272 (confluence with west branch naugatuck),41.8199,-73.1461,2006,2006,1,201491449
14482,West Branch Naugatuck River,downstream Route 4,41.8181,-73.1441,1990,2016,13,201491430
14516,West Branch Naugatuck River,upstream 100 m Wolcott Street,41.81,-73.1349,1999,1999,1,201491571
