"","SID","Yr1","Yr2","Yr3","Y1Y3","Yr1Y2","Yr2Yr3","ColdYr1","ColdYr2","ColdYr3","ColdY1Y3","ColdYr1Y2","ColdYr2Yr3"
"1",14227,72,NA,5.333333333,-66.666666667,NA,NA,1,NA,0,-1,NA,NA
"2",14270,2.666666667,NA,18,15.333333333,NA,NA,0,NA,1,1,NA,NA
"3",14294,9.333333333,NA,13,3.666666667,NA,NA,0,NA,1,1,NA,NA
"4",14355,8,0,105.2631579,97.2631579,-8,105.2631579,0,0,1,1,0,1
"5",14402,5.442176871,3.333333333,12.43243243,6.990255559,-2.108843538,9.099099097,0,0,1,1,0,1
"6",14438,141.3333333,NA,53.33333333,-87.99999997,NA,NA,1,NA,1,0,NA,NA
"7",14453,41,2.857142857,0,-41,-38.142857143,-2.857142857,1,0,0,-1,-1,0
"8",14500,116,NA,0,-116,NA,NA,1,NA,0,-1,NA,NA
"9",14538,13.33333333,NA,82,68.66666667,NA,NA,1,NA,1,0,NA,NA
"10",14597,7.333333333,11.30434783,14.94252874,7.609195407,3.971014497,3.63818091,0,1,1,1,1,0
"11",14605,2,NA,12.5,10.5,NA,NA,0,NA,1,1,NA,NA
"13",14740,114.6666667,NA,40.78212291,-73.88454379,NA,NA,1,NA,1,0,NA,NA
"14",14813,16.66666667,3,40.74074074,24.07407407,-13.66666667,37.74074074,1,0,1,0,-1,1
"15",14819,4,29.41176471,44,40,25.41176471,14.58823529,0,1,1,1,1,0
"17",14857,100,98.66666667,23.91304348,-76.08695652,-1.33333333,-74.75362319,1,1,1,0,0,0
"19",14863,84,21.65605096,44.85981308,-39.14018692,-62.34394904,23.20376212,1,1,1,0,0,0
"20",14866,28,50.66666667,5.389221557,-22.610778443,22.66666667,-45.277445113,1,1,0,-1,0,-1
"21",15003,18,7.333333333,14.86697966,-3.13302034,-10.666666667,7.533646327,1,0,1,0,-1,1
"22",15007,74,101.2738854,40,-34,27.2738854,-61.2738854,1,1,1,0,0,0
"23",15014,58,8.666666667,24.28571429,-33.71428571,-49.333333333,15.619047623,1,0,1,0,-1,1
"26",15035,34.66666667,30,21.77419355,-12.89247312,-4.66666667,-8.22580645,1,1,1,0,0,0
"29",15100,4,16.04095563,25,21,12.04095563,8.95904437,0,1,1,1,1,0
"30",15171,0,NA,29.33333333,29.33333333,NA,NA,0,NA,1,1,NA,NA
"31",15240,37.33333333,22.04724409,22.66666667,-14.66666666,-15.28608924,0.619422580000002,1,1,1,0,0,0
"32",15244,157,NA,3.2,-153.8,NA,NA,1,NA,0,-1,NA,NA
"33",15274,76,NA,1,-75,NA,NA,1,NA,0,-1,NA,NA
"34",15316,23.07692308,NA,22,-1.07692308,NA,NA,1,NA,1,0,NA,NA
"35",15505,110,307.9545455,201.0204082,91.0204082,197.9545455,-106.9341373,1,1,1,0,0,0
"36",15509,53,88,17,-36,35,-71,1,1,1,0,0,0
"38",15516,153.3333333,176.0869565,130,-23.3333333,22.7536232,-46.0869565,1,1,1,0,0,0
"39",15519,26.66666667,61.33333333,1,-25.66666667,34.66666666,-60.33333333,1,1,0,-1,0,-1
"40",15529,44.66666667,0.666666667,3.80952381,-40.85714286,-44.000000003,3.142857143,1,0,0,-1,-1,0
"41",15543,21.33333333,11.42857143,35.71428571,14.38095238,-9.9047619,24.28571428,1,1,1,0,0,0
"42",15577,32,NA,9,-23,NA,NA,1,NA,0,-1,NA,NA
"43",15579,50,NA,8.235294118,-41.764705882,NA,NA,1,NA,0,-1,NA,NA
"44",15680,38,56.09756098,36,-2,18.09756098,-20.09756098,1,1,1,0,0,0
"46",15701,75,17.21311475,9.259259259,-65.740740741,-57.78688525,-7.953855491,1,1,0,-1,0,-1
"47",15711,12.66666667,23.07692308,18.51851852,5.85185185,10.41025641,-4.55840456,1,1,1,0,0,0
"48",15730,14,NA,2,-12,NA,NA,1,NA,0,-1,NA,NA
"49",15796,31.16883117,6,11,-20.16883117,-25.16883117,5,1,0,1,0,-1,1
"51",15991,28,12.83783784,78.57142857,50.57142857,-15.16216216,65.73359073,1,1,1,0,0,0
"52",15998,53.33333333,26.96629213,7,-46.33333333,-26.3670412,-19.96629213,1,1,0,-1,0,-1
"54",16114,164,42.4,26.66666667,-137.33333333,-121.6,-15.73333333,1,1,1,0,0,0
"57",16121,11.33333333,3,9.6,-1.73333333,-8.33333333,6.6,1,0,0,-1,-1,0
"59",16124,47,20,12,-35,-27,-8,1,1,1,0,0,0
"60",16132,8,11,0,-8,3,-11,0,1,0,0,1,-1
"61",16191,0,34.18803419,56,56,34.18803419,21.81196581,0,1,1,1,1,0
"62",16192,61.14649682,30,117.0940171,55.94752028,-31.14649682,87.0940171,1,1,1,0,0,0
"63",16276,60.95238095,0,0,-60.95238095,-60.95238095,0,1,0,0,-1,-1,0
"66",16298,18,NA,0,-18,NA,NA,1,NA,0,-1,NA,NA
"70",16377,207,11.11111111,30.55555556,-176.44444444,-195.88888889,19.44444445,1,1,1,0,0,0
"71",16385,44,14,82,38,-30,68,1,1,1,0,0,0
"72",16387,0,9.473684211,30.52631579,30.52631579,9.473684211,21.052631579,0,0,1,1,0,1
"74",16416,32.66666667,21.21212121,47.12535344,14.45868677,-11.45454546,25.91323223,1,1,1,0,0,0
"75",16431,4.705882353,NA,263.2075472,258.501664847,NA,NA,0,NA,1,1,NA,NA
"76",16472,20,NA,0,-20,NA,NA,1,NA,0,-1,NA,NA
"77",16484,184.9056604,NA,5.405405405,-179.500254995,NA,NA,1,NA,0,-1,NA,NA
"78",16498,12,NA,0,-12,NA,NA,1,NA,0,-1,NA,NA
"79",16502,11,NA,83.33333333,72.33333333,NA,NA,1,NA,1,0,NA,NA
"80",16512,6.542056075,NA,10,3.457943925,NA,NA,0,NA,1,1,NA,NA
"81",16525,43,NA,4.6875,-38.3125,NA,NA,1,NA,0,-1,NA,NA
"82",16527,58.0952381,NA,17.85714286,-40.23809524,NA,NA,1,NA,1,0,NA,NA
"83",16528,101,NA,101,0,NA,NA,1,NA,1,0,NA,NA
"84",16532,36,NA,28,-8,NA,NA,1,NA,1,0,NA,NA
"85",16535,96,59.22330097,61,-35,-36.77669903,1.77669903,1,1,1,0,0,0
"86",16539,15,NA,55,40,NA,NA,1,NA,1,0,NA,NA
"87",16548,17,NA,14,-3,NA,NA,1,NA,1,0,NA,NA
"88",16565,300,NA,0,-300,NA,NA,1,NA,0,-1,NA,NA
"89",16581,10,NA,0,-10,NA,NA,1,NA,0,-1,NA,NA
"90",16583,19,NA,8.421052632,-10.578947368,NA,NA,1,NA,0,-1,NA,NA
"91",16594,190,NA,71.27659574,-118.72340426,NA,NA,1,NA,1,0,NA,NA
"92",16595,96,NA,35.71428571,-60.28571429,NA,NA,1,NA,1,0,NA,NA
"93",16599,10,NA,0,-10,NA,NA,1,NA,0,-1,NA,NA
"94",16607,58,NA,0,-58,NA,NA,1,NA,0,-1,NA,NA
"95",16609,183,NA,94.64285714,-88.35714286,NA,NA,1,NA,1,0,NA,NA
"96",16610,28,NA,2.97029703,-25.02970297,NA,NA,1,NA,0,-1,NA,NA
"97",16623,62,NA,27.27272727,-34.72727273,NA,NA,1,NA,1,0,NA,NA
"98",16645,52,NA,10,-42,NA,NA,1,NA,1,0,NA,NA
"99",16661,16,NA,4,-12,NA,NA,1,NA,0,-1,NA,NA
"100",16668,18,NA,2,-16,NA,NA,1,NA,0,-1,NA,NA
"101",16677,4,NA,12,8,NA,NA,0,NA,1,1,NA,NA
"102",16679,28,NA,0,-28,NA,NA,1,NA,0,-1,NA,NA
"103",16688,225,NA,35.71428571,-189.28571429,NA,NA,1,NA,1,0,NA,NA
"104",16692,28,NA,0,-28,NA,NA,1,NA,0,-1,NA,NA
"105",16693,1,NA,23.30097087,22.30097087,NA,NA,0,NA,1,1,NA,NA
"106",16696,101,NA,15,-86,NA,NA,1,NA,1,0,NA,NA
"107",16697,127.7777778,NA,41.81818182,-85.95959598,NA,NA,1,NA,1,0,NA,NA
"108",16699,68,NA,5.825242718,-62.174757282,NA,NA,1,NA,0,-1,NA,NA
"110",16714,16.98113208,NA,10,-6.98113208,NA,NA,1,NA,1,0,NA,NA
"111",16726,7,NA,30,23,NA,NA,0,NA,1,1,NA,NA
"112",16730,3,NA,40,37,NA,NA,0,NA,1,1,NA,NA
"113",16731,195,NA,27.55905512,-167.44094488,NA,NA,1,NA,1,0,NA,NA
"114",16735,10,NA,0,-10,NA,NA,1,NA,0,-1,NA,NA
"115",16747,48,NA,4.6875,-43.3125,NA,NA,1,NA,0,-1,NA,NA
"116",16758,42.24137931,NA,60,17.75862069,NA,NA,1,NA,1,0,NA,NA
"117",16761,142,NA,65,-77,NA,NA,1,NA,1,0,NA,NA
"118",16786,184.8920863,NA,63.36633663,-121.52574967,NA,NA,1,NA,1,0,NA,NA
"119",16787,100,NA,7,-93,NA,NA,1,NA,0,-1,NA,NA
"120",16793,0,NA,50,50,NA,NA,0,NA,1,1,NA,NA
"121",16809,8,NA,14,6,NA,NA,0,NA,1,1,NA,NA
"122",16819,118,NA,105.7971014,-12.2028986,NA,NA,1,NA,1,0,NA,NA
"123",16831,144,NA,2,-142,NA,NA,1,NA,0,-1,NA,NA
"124",16836,94,NA,24,-70,NA,NA,1,NA,1,0,NA,NA
"125",16843,4.666666667,NA,33.60655738,28.939890713,NA,NA,0,NA,1,1,NA,NA
"126",16852,22.22222222,8.333333333,3.293084523,-18.929137697,-13.888888887,-5.04024881,1,0,0,-1,-1,0
"128",16857,19,NA,9.87654321,-9.12345679,NA,NA,1,NA,0,-1,NA,NA
"129",16862,44,NA,27.69230769,-16.30769231,NA,NA,1,NA,1,0,NA,NA
"130",16863,201,NA,18.0952381,-182.9047619,NA,NA,1,NA,1,0,NA,NA
"131",16876,40,NA,0,-40,NA,NA,1,NA,0,-1,NA,NA
"132",16879,16,NA,74,58,NA,NA,1,NA,1,0,NA,NA
"133",16898,116,NA,73,-43,NA,NA,1,NA,1,0,NA,NA
"134",16913,72,NA,32,-40,NA,NA,1,NA,1,0,NA,NA
"135",16921,22,NA,4,-18,NA,NA,1,NA,0,-1,NA,NA
"136",16922,22,100,15.55555556,-6.44444444,78,-84.44444444,1,1,1,0,0,0
"137",16926,20,16,2,-18,-4,-14,1,1,0,-1,0,-1
"138",16928,58,NA,0,-58,NA,NA,1,NA,0,-1,NA,NA
"139",16930,20,NA,1.459854015,-18.540145985,NA,NA,1,NA,0,-1,NA,NA
"140",16932,33,NA,31.06060606,-1.93939394,NA,NA,1,NA,1,0,NA,NA
"141",16933,92,NA,100,8,NA,NA,1,NA,1,0,NA,NA
"142",16944,15.17857143,NA,0,-15.17857143,NA,NA,1,NA,0,-1,NA,NA
"143",16965,106,NA,1.666666667,-104.333333333,NA,NA,1,NA,0,-1,NA,NA
"144",16967,0,NA,13.46153846,13.46153846,NA,NA,0,NA,1,1,NA,NA
"145",16972,60,NA,27,-33,NA,NA,1,NA,1,0,NA,NA
"146",16994,62,NA,26,-36,NA,NA,1,NA,1,0,NA,NA
"147",17000,148,NA,0,-148,NA,NA,1,NA,0,-1,NA,NA
"148",17013,88,NA,0,-88,NA,NA,1,NA,0,-1,NA,NA
"149",17014,1,0,18.75,17.75,-1,18.75,0,0,1,1,0,1
"150",17026,16,NA,40,24,NA,NA,1,NA,1,0,NA,NA
"151",17028,62,NA,96,34,NA,NA,1,NA,1,0,NA,NA
"152",17035,62,NA,24,-38,NA,NA,1,NA,1,0,NA,NA
"153",17088,118,NA,70.90909091,-47.09090909,NA,NA,1,NA,1,0,NA,NA
"154",17092,154,NA,42,-112,NA,NA,1,NA,1,0,NA,NA
"155",17112,128,NA,0,-128,NA,NA,1,NA,0,-1,NA,NA
"156",17120,22,NA,0,-22,NA,NA,1,NA,0,-1,NA,NA
"157",17125,59.33333333,NA,2,-57.33333333,NA,NA,1,NA,0,-1,NA,NA
"158",17129,24,NA,31.57894737,7.57894737,NA,NA,1,NA,1,0,NA,NA
"159",17130,42,NA,0,-42,NA,NA,1,NA,0,-1,NA,NA
"160",17133,60,NA,30,-30,NA,NA,1,NA,1,0,NA,NA
"161",17134,192,NA,1.818181818,-190.181818182,NA,NA,1,NA,0,-1,NA,NA
"162",17147,88,NA,92.1875,4.1875,NA,NA,1,NA,1,0,NA,NA
"163",17148,312,NA,169.1358025,-142.8641975,NA,NA,1,NA,1,0,NA,NA
"164",17151,57.14285714,NA,0,-57.14285714,NA,NA,1,NA,0,-1,NA,NA
"166",17157,50,NA,0,-50,NA,NA,1,NA,0,-1,NA,NA
"168",17167,16.66666667,NA,24.66666667,8,NA,NA,1,NA,1,0,NA,NA
"169",17169,114.4444444,NA,33.01886792,-81.42557648,NA,NA,1,NA,1,0,NA,NA
"170",17179,18,NA,5.084745763,-12.915254237,NA,NA,1,NA,0,-1,NA,NA
"171",17183,20,NA,0,-20,NA,NA,1,NA,0,-1,NA,NA
"172",17186,4.854368932,NA,11.33333333,6.478964398,NA,NA,0,NA,1,1,NA,NA
"173",17187,76,NA,12.66666667,-63.33333333,NA,NA,1,NA,1,0,NA,NA
"174",17188,17.33333333,NA,0,-17.33333333,NA,NA,1,NA,0,-1,NA,NA
"175",17193,15.33333333,NA,9.230769231,-6.102564099,NA,NA,1,NA,0,-1,NA,NA
"176",17201,17,NA,0,-17,NA,NA,1,NA,0,-1,NA,NA
"177",17215,25,NA,13,-12,NA,NA,1,NA,1,0,NA,NA
